Ⲉⲣϣⲁⲛ	ACOND	ⲉⲣϣⲁⲛ
ⲉ̇ϩⲣⲁⲓ	ADV	ⲉϩⲣⲁⲓ
ⲉ̇	PREP	ⲉ
ⲡⲉⲕ	PPOS	ⲡⲉⲕ
[ⲙ̣ⲟⲧⲉ]	N	ⲙⲟⲧⲉ
ⲛⲉ	CPRET	ⲛⲉ
ⲕ	PPERS	ⲕ
ⲛⲁ	FUT	ⲛⲁ
ϭⲱ	V	ϭⲱ
ⲉ̇ϩⲣⲁⲓ	ADV	ⲉϩⲣⲁⲓ
ⲛ̣[ϩⲏ]ⲧ	PREP	ⲛϩⲏⲧ
ⲟⲩ	PPERO	ⲟⲩ
ⲡⲉ	COP	ⲡⲉ
ⲛ︥	ACONJ	ⲛ
︤ⲅ	PPERS	ⲅ
ϥⲓ̇	V	ϥⲓ
ϩⲁⲣ[ⲟ	PREP	ϩⲁⲣⲟ
ⲟⲩ]	PPERO	ⲟⲩ
ⲛ	ACONJ	ⲛ
ⲅ̇	PPERS	ⲅ
ⲧⲙ︤	NEG	ⲧⲙ
ϩ︥ⲗⲟⲡⲗ[ⲡ	V	ϩⲗⲟⲡⲗⲡ
·]	PUNCT	·
Ⲉ︤	CCIRC	ⲉ
ⲩ	PPERS	ⲩ
ⲛⲁ	FUT	ⲛⲁ
ⲃⲱⲕ	V	ⲃⲱⲕ
ⲇⲉ	PTC	ⲇⲉ
ⲉ̇	PREP	ⲉ
ⲡ	ART	ⲡ
ⲱϩⲥ̇	N	ⲱϩⲥ
ϥ	PPERS	ϥ
ⲛⲁ	PREP	ⲛⲁ
ⲩ̇	PPERO	ⲩ
ϫⲉ	CONJ	ϫⲉ
ⲛ̇	NEG	ⲛ
ϯ̇	PPERS	ϯ
ⲛⲁ	FUT	ⲛⲁ
ⲃⲱⲕ	V	ⲃⲱⲕ
ⲁ̇ⲛ	NEG	ⲁⲛ
ⲉ̇	PREP	ⲉ
ⲕⲟⲧ	V	ⲕⲟⲧ
ⲧ̇	PPERO	ⲧ
ⲉ̇	PREP	ⲉ
ϯ̇ⲛ̇ⲧⲟⲗⲏ	V	ϯⲛⲧⲟⲗⲏ
ⲛⲏ	PREP	ⲛⲏ
ⲧⲛ̇	PPERO	ⲧⲛ
·	PUNCT	·
ⲛ̇	NEG	ⲛ
ⲧⲉⲧⲛ̇	PPERS	ⲧⲉⲧⲛ
ϩⲁⲣⲉϩ	V	ϩⲁⲣⲉϩ
ⲅⲁⲣ	PTC	ⲅⲁⲣ
ⲁ̇ⲛ	NEG	ⲁⲛ
·	PUNCT	.
ⲡⲉ	ART	ⲡⲉ
·	PUNCT	·
ⲛ̇ⲧⲟⲕ	PPERI	ⲛⲧⲟⲕ
ⲇⲉ	PTC	ⲇⲉ
ⲛ̇ⲧⲕ̇	PPERI	ⲛⲧⲕ
ⲟⲩ	ART	ⲟⲩ
ⲕⲱⲥⲙⲓⲕⲟⲛ	N	ⲕⲱⲥⲙⲓⲕⲟⲛ
ⲙⲛ̇	PREP	ⲙⲛ
ϭⲟⲙ	N	ϭⲟⲙ
ⲙ̇ⲙⲟ	PREP	ⲙⲙⲟ
ⲕ	PPERO	ⲕ
·	PUNCT	·
ⲉ	PREP	ⲉ
ϣ̇ⲱⲡⲉ	V	ϣⲱⲡⲉ
ⲙ̇	PREP	ⲙ
ⲡⲉⲓ̈	PDEM	ⲡⲉⲓ
ⲙⲁ	N	ⲙⲁ
·	PUNCT	·
ⲻ	PUNCT	ⲻ
ⲁ︤	APST	ⲁ
ϥ	PPERS	ϥ
ϫⲟⲟ	V	ϫⲟⲟ
ⲥ	PPERO	ⲥ
ⲛ̇ϭⲓ̇	PTC	ⲛϭⲓ
ⲁ̇ⲡⲁ	N	ⲁⲡⲁ
ⲓ̇ⲥⲁⲕ	NPROP	ⲓⲥⲁⲕ
ϫⲉ	CONJ	ϫⲉ
ⲛⲉⲛ	PPOS	ⲛⲉⲛ
ⲉⲓ̇ⲟ̇ⲧⲉ	N	ⲉⲓⲟⲧⲉ
ⲙⲉⲛ	PREP	ⲙⲛ
ⲁ̇ⲡⲁ	N	ⲁⲡⲁ
ⲡⲁⲙⲃⲱ̇	NPROP	ⲡⲁⲙⲃⲱ
ⲛⲉ	CPRET	ⲛⲉ
ⲩ	PPERS	ⲩ
ⲫⲟⲣⲉⲓ̇	V	ⲫⲟⲣⲉⲓ
ⲛ̇	PREP	ⲛ
ϩⲉⲛ	ART	ϩⲉⲛ
ϣ̇ⲧⲏⲛ	N	ϣⲧⲏⲛ
ⲙ̇	PREP	ⲙ
ⲡⲉⲗϭⲉ	N	ⲡⲉⲗϭⲉ
ⲉ̇	CREL	ⲉ
ⲩ	PPERS	ⲩ
ϩⲛ̇	PREP	ϩⲛ
ⲛ̇	ART	ⲛ
ⲧⲟⲉⲓ̇ⲥ	N	ⲧⲟⲉⲓⲥ
ⲙⲛ̇	PREP	ⲙⲛ
ϩⲛ̇	PREP	ϩⲛ
ϣ̇ⲧⲏⲛ	N	ϣⲧⲏⲛ
ⲛ̇	PREP	ⲛ
ϣ̇ⲃⲛ̇ⲛⲉ	N	ϣⲃⲛⲛⲉ
.	PUNCT	.
ⲛ̇ⲧⲱⲧⲛ̇	PPERI	ⲛⲧⲱⲧⲛ
ⲇⲉ	PTC	ⲇⲉ
ⲧⲉⲛⲟⲩ	ADV	ⲧⲉⲛⲟⲩ
ⲧⲉⲧⲛ̇	PPERS	ⲧⲉⲧⲛ
ⲫⲟⲣⲉⲓ	V	ⲫⲟⲣⲉⲓ
ⲛ̇	PREP	ⲛ
ϩⲛ̇	ART	ϩⲉⲛ
ϣ̇ⲧⲏⲛ	N	ϣⲧⲏⲛ
ⲉ̇	CREL	ⲉ
ⲩ	PPERS	ⲩ
ⲧⲁⲉⲓ̇ⲏⲩ	VSTAT	ⲧⲁⲉⲓⲏⲩ
·	PUNCT	.
ⲃⲱⲕ	V	ⲃⲱⲕ
ⲛ̇ⲧⲱⲧⲛ̇	PPERI	ⲛⲧⲱⲧⲛ
ⲙ̇	PREP	ⲙ
ⲡⲉⲓ̇	PDEM	ⲡⲉⲓ
ⲙⲁ	N	ⲙⲁ
·	PUNCT	·
ⲁ̇	APST	ⲁ
ⲧⲉⲧⲛ̇	PPERS	ⲧⲉⲧⲛ
ⲧⲁⲕⲟ	V	ⲧⲁⲕⲟ
ϥ	PPERO	ϥ
.ⲻ	PUNCT	.
Ⲛⲧⲟϥ	PPERI	ⲛⲧⲟϥ
ⲟ̇ⲛ	ADV	ⲟⲛ
ⲁ̇	APST	ⲁ
ϥ	PPERS	ϥ
ϫⲟⲟ	V	ϫⲟⲟ
ⲥ	PPERO	ⲥ
ϫⲉ	CONJ	ϫⲉ
ⲁ̇	APST	ⲁ
ⲁ̇ⲡⲁ	N	ⲁⲡⲁ
ⲡⲁⲙⲃⲱ	NPROP	ⲡⲁⲙⲃⲱ
ϫⲟⲟ	V	ϫⲟⲟ
ⲥ	PPERO	ⲥ
ϫⲉ	CONJ	ϫⲉ
ⲧⲁⲓ̇	PDEM	ⲧⲁⲓ
ⲧⲉ	COP	ⲧⲉ
ⲑ	ART	ⲧ
ⲉ̇	N	ϩⲉ
ⲉ̇ⲧⲉ	CREL	ⲉⲧⲉ
ϣ̇ϣⲉ	V	ϣϣⲉ
ⲉ̇	PREP	ⲉ
ⲡ	ART	ⲡ
ⲙⲟⲛⲁⲭⲟⲥ	N	ⲙⲟⲛⲁⲭⲟⲥ
ⲉ	PREP	ⲉ
Ⲫⲟⲣⲉⲓ̇	V	ⲫⲟⲣⲉⲓ
ⲛ̇	PREP	ⲛ
ⲛⲉϥ	PPOS	ⲛⲉϥ
ϩⲟⲓ̇ⲧⲉ	N	ϩⲟⲓⲧⲉ
·	PUNCT	·
ϩⲱⲥⲧⲉ	CONJ	ϩⲱⲥⲧⲉ
ⲉ̇	CCIRC	ⲉ
ⲛⲉϫ	V	ⲛⲉϫ
ⲧⲉϥ	PPOS	ⲧⲉϥ
ϣ̇ⲧⲏⲛ	N	ϣⲧⲏⲛ
ⲙ̇	PREP	ⲙ
ⲡ̇	ART	ⲡ
ⲃⲟⲗ	N	ⲃⲟⲗ
ⲛ̇	PREP	ⲛ
ⲧⲉϥ	PPOS	ⲧⲉϥ
ⲣⲓ̇	N	ⲣⲓ
ⲛ̇	PREP	ⲛ
ϣⲟⲙⲛⲧ̇	NUM	ϣⲟⲙⲛⲧ
ⲛ̇	PREP	ⲛ
ϩⲟⲟⲩ	N	ϩⲟⲟⲩ
.	PUNCT	.
ⲛ̇ⲧⲉ	ACONJ	ⲛⲧⲉ
ⲧⲙ̇	NEG	ⲧⲙ
ⲗⲁⲁⲩ	N	ⲗⲁⲁⲩ
ⲧⲁⲓ̇ⲟ	V	ⲧⲁⲓⲟ
ⲥ	PPERO	ⲥ
ⲉ̇	PREP	ⲉ
ϥⲓ̇ⲧ̇	V	ϥⲓⲧ
ⲥ	PPERO	ⲥ
·	PUNCT	·
ⲧⲟⲧⲉ	ADV	ⲧⲟⲧⲉ
ⲉ̇	AOPT	ⲉ
ϥ	PPERS	ϥ
ⲉ	AOPT	ⲉ
Ⲫⲟⲣⲓ̇	V	ⲫⲟⲣⲉⲓ
ⲙ̇ⲙⲟ	PREP	ⲙⲙⲟ
ⲥ	PPERO	ⲥ
.	PUNCT	.
ⲁ	APST	ⲁ
ϥ	PPERS	ϥ
ϫⲟⲟ̇	V	ϫⲟⲟ
ⲥ	PPERO	ⲥ
ⲛ̇ϭⲓ̇	PTC	ⲛϭⲓ
ⲁ̇ⲡⲁ	N	ⲁⲡⲁ
ⲕⲁⲥⲓ̇ⲁ̇ⲛⲟⲥ	NPROP	ⲕⲁⲥⲓⲁⲛⲟⲥ
·	PUNCT	·
ϫⲉ	CONJ	ϫⲉ
ⲁ̇	APST	ⲁ
ϥ	PPERS	ϥ
ϫⲟⲟ̇	V	ϫⲟⲟ
ⲥ	PPERO	ⲥ
ⲛ̇ϭⲓ̇	PTC	ⲛϭⲓ
ⲟⲩⲁ̇	NUM	ⲟⲩⲁ
ⲛ	PREP	ⲛ
ⲉⲛ	V	ⲛ
ⲥⲩⲛⲕ̇ⲗⲏⲧⲓ̇ⲕⲟⲥ	N	ⲥⲩⲛⲕⲗⲏⲧⲓⲕⲟⲥ
·	PUNCT	·
ⲉ̇	CREL	ⲉ
ⲁ̇	APST	ⲁ
ϥ	PPERS	ϥ
ⲁ̇ⲡⲟⲧⲁⲥⲥⲉ	V	ⲁⲡⲟⲧⲁⲥⲥⲉ
ⲛ̇ 	PREP	ⲛ
ⲛⲉϥ	PPOS	ⲛⲉϥ
ⲭ̇ⲣⲏⲙⲁ	N	ⲭⲣⲏⲙⲁ
ⲧⲏⲣ	IMOD	ⲧⲏⲣ
ⲟⲩ 	PPERO	ⲟⲩ
ⲁ̇	APST	ⲁ
ϥ	PPERS	ϥ
ⲧⲁ̇ⲁ	V	ⲧⲁⲁ
ⲩ	PPERO	ⲩ
ⲛ̇	PREP	ⲛ
ⲛ̇	ART	ⲛ
ϩⲏⲕⲉ	N	ϩⲏⲕⲉ
·	PUNCT	·
ⲁ̇	APST	ⲁ
ϥ	PPERS	ϥ
ⲕⲁ	V	ⲕⲁ
ϩⲛ̇	PREP	ϩⲛ
ⲕⲟⲩⲓ̇	N	ⲕⲟⲩⲓ
ⲛⲁ	PREP	ⲛⲁ
ϥ	PPERO	ϥ
ⲉ̇ⲧⲃⲉ	PREP	ⲉⲧⲃⲉ
ⲧⲉϥ	PPOS	ⲧⲉϥ
ⲭⲣⲓ̇ⲁ̇	N	ⲭⲣⲓⲁ
ⲙⲁⲩⲁ̇ⲁ	IMOD	ⲙⲁⲩⲁⲁ
ϥ	PPERO	ϥ
·	PUNCT	·
ⲙ̇ⲡⲉ	ANEGPST	ⲙⲡⲉ
ϥ	PPERS	ϥ
ⲟⲩⲱϣ	V	ⲟⲩⲱϣ
ⲉ	PREP	ⲉ
ⲱ̇ⲛϩ̇	N	ⲱⲛϩ
ϩⲛ̇	PREP	ϩⲛ
ⲟⲩ	ART	ⲟⲩ
ⲙⲛⲧ̇ⲁ̇ⲡⲟⲧⲁⲕⲧⲓ̇ⲕⲟⲥ	N	ⲙⲛⲧⲁⲡⲟⲧⲁⲕⲧⲓⲕⲟⲥ
ⲉ̇ⲧ 	CREL	ⲉⲧ
ϫⲏⲕ	VSTAT	ϫⲏⲕ
ⲉ̇ⲃⲟⲗ	ADV	ⲉⲃⲟⲗ
·	PUNCT	·
ⲻ	PUNCT	ⲻ
ⲛ̇ⲧⲉ	PREP	ⲛⲧⲉ
ⲡⲉ	ART	ⲡⲉ
ⲑ̇ⲃⲃⲓ̇ⲟ̇	V	ⲑⲃⲃⲓⲟ
ⲛ̇ 	PREP	ⲛ
ϩⲏⲧ	N	ϩⲏⲧ
·	PUNCT	·
ⲻ	PUNCT	ⲻ
Ⲡⲁⲓ̇	PDEM	ⲡⲁⲓ
ⲇⲉ	PTC	ⲇⲉ
ⲁ̇	APST	ⲁ
ϥ	PPERS	ϥ
ϫⲱ	V	ϫⲱ
ⲛ	PREP	ⲛ
ⲟⲩ	ART	ⲟⲩ
ϣⲁϫⲉ	N	ϣⲁϫⲉ
ⲛⲁϩⲣⲁ	PREP	ⲛⲁϩⲣⲁ
ϥ	PPERO	ϥ
ⲛϭⲓ̇	PTC	ⲛϭⲓ
ⲃⲁⲥⲓ̇ⲙⲟⲥ	NPROP	ⲃⲁⲥⲓⲙⲟⲥ
ⲡ 	ART	ⲡ
ⲉⲧ	CREL	ⲉⲧ
ϣⲟⲟ̇ⲡ	VSTAT	ϣⲟⲟⲡ
ϩⲛ̇	PREP	ϩⲛ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
ⲟⲩⲁⲁⲃ	VSTAT	ⲟⲩⲁⲁⲃ
·	PUNCT	·
ⲉ̇	CCIRC	ⲉ
ϥ	PPERS	ϥ
ϫⲱ	V	ϫⲱ
ⲙⲙⲟ	PREP	ⲙⲙⲟ
ⲥ	PPERO	ⲥ
ϫⲉ	CONJ	ϫⲉ
ⲧ̇	ART	ⲧ
ⲙⲛⲧⲥⲩⲛⲕ̇ⲗⲏⲧⲓ̇ⲕⲟ̇ⲥ	N	ⲙⲛⲧⲥⲩⲛⲕⲗⲏⲧⲓⲕⲟⲥ
ⲁ̇	APST	ⲁ
ⲕ	PPERS	ⲕ
ⲥⲟⲣⲙⲉ	V	ⲥⲟⲣⲙⲉ
ⲥ	PPERO	ⲥ
·	PUNCT	·
ⲁ̇ⲩⲱ̇	CONJ	ⲁⲩⲱ
ⲧ̇	ART	ⲧ
ⲙⲛⲧ̇ⲙⲟⲛⲁⲭⲟⲥ	N	ⲙⲛⲧⲙⲟⲛⲁⲭⲟⲥ
ⲙ̇ⲡⲉ	ANEGPST	ⲙⲡⲉ
ⲕ	PPERS	ⲕ
ϩⲉ	V	ϩⲉ
ⲉ̇ⲣⲟ	PREP	ⲉⲣⲟ
ⲥ	PPERO	ⲥ
·	PUNCT	·
ⲻ	PUNCT	ⲻ
Ⲁ	APST	ⲁ
ⲟⲩ	ART	ⲟⲩ
ⲥⲟⲛ	N	ⲥⲟⲛ
ϫ̇ⲛⲉ	V	ϫⲛⲉ
ⲁ̇ⲡⲁ	N	ⲁⲡⲁ
ⲥⲁⲣⲁⲡⲓ̇ⲟⲛ	NPROP	ⲥⲁⲣⲁⲡⲓⲟⲛ
ϫⲉ	CONJ	ϫⲉ
ⲁ̇ϫⲓ̇	VIMP	ⲁϫⲓ
ⲟⲩ	ART	ⲟⲩ
ϣⲁϫⲉ	N	ϣⲁϫⲉ
ⲉⲣ̇ⲟ	PREP	ⲉⲣⲟ
ⲓ̇	PPERO	ⲓ
·	PUNCT	.
ⲡⲉϫⲉ̇̇	VBD	ⲡⲉϫⲉ
ⲡ̇	ART	ⲡ
ϩ̇ⲗⲗⲟ	N	ϩⲗⲗⲟ
ⲛⲁ	PREP	ⲛⲁ
ϥ	PPERO	ϥ
ϫⲉ	CONJ	ϫⲉ
ⲉ̇	CFOC	ⲉ
ⲓ	PPERS	ⲓ
ⲛⲁ	FUT	ⲛⲁ
ϫⲉ	V	ϫⲉ
ⲟⲩ	PPERO	ⲟⲩ
ⲛⲁ	PREP	ⲛⲁ
ⲕ	PPERO	ⲕ
ϫⲉ	CONJ	ϫⲉ
ⲁ̇	APST	ⲁ
ⲕ	PPERS	ⲕ
ϥⲓ̇	V	ϥⲓ
ⲛⲉ	ART	ⲛⲉ
ⲛⲕⲁ	N	ⲛⲕⲁ
ⲛ̇	PREP	ⲛ
ⲛ̇	ART	ⲛ
ϩⲏⲕⲉ	N	ϩⲏⲕⲉ
·	PUNCT	.
ⲙⲛ̇	PREP	ⲙⲛ
ⲛⲉ	ART	ⲛⲉ
ⲭⲏⲣⲁ	N	ⲭⲏⲣⲁ
ⲙⲛ̇	PREP	ⲙⲛ
ⲛ	ART	ⲛ
ⲟⲣⲪⲁⲛⲟⲥ	N	ⲟⲣⲫⲁⲛⲟⲥ
·	PUNCT	.
ⲁ̇	APST	ⲁ
ⲕ	PPERS	ⲕ
ⲕⲁ̇ⲁ	V	ⲕⲁⲁ
ⲩ	PPERO	ⲩ
ϩ̇ⲙ	PREP	ϩⲙ
ⲡ̇	ART	ⲡ
ϣⲟⲩϣⲧ̇	N	ϣⲟⲩϣⲧ
·	PUNCT	.
ⲁ̇	APST	ⲁ
ϥ	PPERS	ϥ
ⲛⲁⲩ	V	ⲛⲁⲩ
ⲅⲁⲣ	PTC	ⲅⲁⲣ
ⲉ̣	PREP	ⲉ
ⲡ	ART	ⲡ
ϣⲟⲩϣⲧ̇	N	ϣⲟⲩϣⲧ
ⲉ̇	CCIRC	ⲉ
ϥ	PPERS	ϥ
ⲙⲉϩ	V	ⲙⲉϩ
ⲛ̇	PREP	ⲛ
ϫⲱⲱ̇ⲙⲉ	N	ϫⲱⲱⲙⲉ
·	PUNCT	.
Ⲁ	APST	ⲁ
ⲟⲩⲁ̇	NUM	ⲟⲩⲁ
ⲛ̇	PREP	ⲛ
ⲛⲉ	ART	ⲛⲉ
ⲥⲛⲏⲩ	N	ⲥⲛⲏⲩ
ϫ̇ⲛⲉ	V	ϫⲛⲉ
ⲁ̇ⲡⲁ	N	ⲁⲡⲁ
ⲡⲁ̇ⲥⲧⲁⲙⲱⲛ	NPROP	ⲡⲁⲥⲧⲁⲙⲱⲛ
ϫⲉ	V	ϫⲉ
ⲟⲩ	PINT	ⲟⲩ
ⲡⲉ	COP	ⲡⲉ
ϯ̇	PPERS	ϯ
ⲛⲁ	FUT	ⲛⲁ
ⲁ̇ⲁ	V	ⲁⲁ
ϥ	PPERO	ϥ
ϫⲉ	CONJ	ϫⲉ
ⲥⲉ	PPERS	ⲥⲉ
ⲑ̇ⲗⲓ̇ⲃⲉ	V	ⲑⲗⲓⲃⲉ
ⲙ̇ⲙⲟ	PREP	ⲙⲙⲟ
ⲓ̇	PPERO	ⲓ
ⲉ	CCIRC	ⲉ
ⲓ̇	PPERS	ⲓ
ϯ̇	V	ϯ
ⲙ̇	PREP	ⲙ
ⲡⲁ	PPOS	ⲡⲁ
ϩⲱⲃ	N	ϩⲱⲃ
ⲛ̇	PREP	ⲛ
ϭⲓ̇ϫ	N	ϭⲓϫ
ⲉ̇ⲃⲟⲗ	ADV	ⲉⲃⲟⲗ
·	PUNCT	.
Ⲁ	APST	ⲁ
ϥ	PPERS	ϥ
ⲟⲩⲱ̇ϣⲃ	V	ⲟⲩⲱϣⲃ
ⲛ̇ϭⲓ̇	PTC	ⲛϭⲓ
ϩ̇ⲗⲗⲟ	N	ϩⲗⲗⲟ
ⲡⲉϫⲁ	VBD	ⲡⲉϫⲁ
ϥ	PPERS	ϥ
ϫⲉ	CONJ	ϫⲉ
ⲡ̇	ART	ⲡ
ⲕⲉ	N	ⲕⲉ
ⲁ̇ⲡⲁ	N	ⲁⲡⲁ
ϫⲓ̇ϫⲱⲓ	NPROP	ϫⲓϫⲱⲓ
ⲙ̇ⲛ	PREP	ⲙⲛ
ⲡ̇	ART	ⲡ
ⲕⲉ	ART	ⲕⲉ
ⲥⲉⲉ̇ⲡⲉ	N	ⲥⲉⲉⲡⲉ
ϣⲁ	AAOR	ϣⲁ
ⲩ	PPERS	ⲩ
ϯ̇	V	ϯ
ⲡⲉⲩ	PPOS	ⲡⲉⲩ
ϩⲱⲃ	N	ϩⲱⲃ
ⲛ̇	PREP	ⲛ
ϭⲓϫ	N	ϭⲓϫ
ⲉ̇ⲃⲟⲗ	ADV	ⲉⲃⲟⲗ
·	PUNCT	.
ⲡⲁⲓ̇	PDEM	ⲡⲁⲓ
ⲛ	PREP	ⲛ
ⲟⲩ	ART	ⲟⲩ
ⲟ̇ⲥⲉ	N	ⲟⲥⲉ
ⲁ̇ⲛ	NEG	ⲁⲛ
ⲡⲉ	COP	ⲡⲉ
ⲻ	PUNCT	.
Ⲉⲕϣⲁⲛ	ACOND_PPERS	ⲉⲕϣⲁⲛ
ⲛⲟⲩ	V	ⲛⲟⲩ
ⲇⲉ	PTC	ⲇⲉ
ⲉ̇	PREP	ⲉ
ϯ̇	V	ϯ
ⲁ̇ϫⲓ̇̇	VIMP	ⲁϫⲓ
ⲧ̇	ART	ⲧ
ϯ̇ⲙⲏ	N	ϯⲙⲏ
ⲛ	ACONJ	ⲛ
ⲟⲩ̇	ART	ⲟⲩ
ⲥⲟⲡ	N	ⲥⲟⲡ
ⲛ	PREP	ⲛ
ⲟⲩⲱ̇ⲧ	N	ⲟⲩⲱⲧ
ⲛⲧⲉ	PREP	ⲛⲧⲉ
ⲡ	ART	ⲡ
ⲓ̇ⲇⲟⲥ	N	ⲉⲓⲇⲟⲥ
Ⲉⲕϣⲁⲛ	ACOND_PPERS	ⲉⲕϣⲁⲛ
ⲟⲩⲱ̇ϣ	V	ⲟⲩⲱϣ
ⲇⲉ	PTC	ⲇⲉ
ⲉ̇	CCIRC	ⲉ
ⲕⲁ	V	ⲕⲁ
ⲟⲩ	ART	ⲟⲩ
ⲕⲟⲩⲓ̇	N	ⲕⲟⲩⲓ
ⲉ̇ⲃⲟⲗ	ADV	ⲉⲃⲟⲗ
ϩⲛ̇	PREP	ϩⲛ
ⲥⲟⲩⲛ̇ⲧ	N	ⲥⲟⲩⲛⲧ
ϥ̇	PPERO	ϥ
·	PUNCT	,
ⲛ̇ⲧⲟⲕ	PPERI	ⲛⲧⲟⲕ
ⲉ̇ⲧ	CREL	ⲉⲧ
ⲧⲱϣ	V	ⲧⲱϣ
·	PUNCT	.
ⲧⲁⲓ̇	PDEM	ⲧⲁⲓ
ⲧⲉ	COP	ⲧⲉ
ⲧ	ART	ⲧ
ϩⲉ	N	ϩⲉ
ⲉ̇	PREP	ⲉ
ⲧⲉⲕ	PPOS	ⲧⲉⲕ
ⲛⲁ	FUT	ⲛⲁ
ϭⲛ̇	V	ϭⲛ
ⲙ̇ⲧⲟⲛ	N	ⲙⲧⲟⲛ
·ⲻ	PUNCT	.
Ⲡⲉϫⲉ	VBD	ⲡⲉϫⲉ
ⲡ̇	ART	ⲡ
ⲥⲟⲛ̇	N	ⲥⲟⲛ
ⲛⲁ	PREP	ⲛⲁ
ϥ	PPERO	ϥ
ϫⲉ	CONJ	ϫⲉ
ⲉ	CFOC	ⲉ
ϣⲱⲡⲉ	V	ϣⲱⲡⲉ
ⲟⲩⲛ̇ⲧⲁ	EXIST	ⲟⲩⲛⲧⲁ
ⲓ̇	PPERO	ⲓ
ⲧⲁ	PPOS	ⲧⲁ
ⲭ̇ⲣⲓ̇ⲁ̇	N	ⲭⲣⲓⲁ
ⲙ̇ⲙⲁⲩ	ADV	ⲙⲙⲁⲩ
·	PUNCT	,
ⲕ	PPERS	ⲕ
ⲟⲩⲱ̇ϣ	V	ⲟⲩⲱϣ
ⲉ	PREP	ⲉ
ⲧⲙ̇	NEG	ⲧⲙ
ⲧ̇ⲣ	ACAUS	ⲧⲣ
ⲁ	PPERS	ⲁ
ϥⲉⲓ̇ⲣⲟⲟⲩϣ̇	V	ϥⲉⲓⲣⲟⲟⲩϣ
ϩⲁ	PREP	ϩⲁ
ϩⲱⲃ	N	ϩⲱⲃ
ⲛ̇	PREP	ⲛ
ϭⲓ̇ϫ	N	ϭⲓϫ
·	PUNCT	?
Ⲁ	APST	ⲁ
ϥ	PPERS	ϥ
ⲟⲩⲱ̇ϣⲃ̇	V	ⲟⲩⲱϣⲃ
ⲛ̇ϭⲓ̇	PTC	ⲛϭⲓ
ⲡ̇	ART	ⲡ
ϩⲗⲗⲟ	N	ϩⲗⲗⲟ
ϫⲉ	CONJ	ϫⲉ
ⲕⲁⲛ	CONJ	ⲕⲁⲛ
ⲟⲩⲛ̇ⲧⲁ	EXIST	ⲟⲩⲛⲧⲁ
ⲕ	PPERO	ⲕ
ϩⲱⲃ	N	ϩⲱⲃ
ⲛⲓ̇ⲙ	PINT	ⲛⲓⲙ
ⲙ̇ⲡⲣ̇	NEG	ⲙⲡⲣ
ⲕⲁ	V	ⲕⲁ
ⲡ̇	ART	ⲡ
ϩⲱⲂ	N	ϩⲱⲃ
ⲛ	PREP	ⲛ
Ϭⲓ̇ϫ	N	ϭⲓϫ
ⲉ̇ⲂⲟⲖ	ADV	ⲉⲃⲟⲗ
ⲡ	ART	ⲡ
ⲉⲧⲉ	CREL	ⲉⲧⲉ
ⲟⲩⲛ̇	EXIST	ⲟⲩⲛ
ϭⲟⲙ	N	ϭⲟⲙ
ⲙ̇ⲙⲟ	PREP	ⲙⲙⲟ
ⲕ	PPERO	ⲕ
ⲉ̇	CCIRC	ⲉ
ⲁ̇ⲁ	V	ⲁⲁ
ϥ	PPERO	ϥ
ⲁ̇ⲣⲓ̈	VIMP	ⲁⲣⲓ
ϥ	PPERO	ϥ
·	PUNCT	—
ⲙⲱⲛⲟⲛ	ADV	ⲙⲱⲛⲟⲛ
ϩⲛ̇	PREP	ϩⲛ
ⲟⲩ	ART	ⲟⲩ
ϣ̇ⲧⲟⲣⲧ̇ⲣ	V	ϣⲧⲟⲣⲧⲣ
ⲁ̇ⲛ	NEG	ⲁⲛ
·	PUNCT	.
Ⲁ	APST	ⲁ
ϥ	PPERS	ϥ
ϫⲟⲟ̇	V	ϫⲟⲟ
ⲥ	PPERO	ⲥ
ⲛ̇ϭⲓ̇	PTC	ⲛϭⲓ
ⲁ̇ⲡⲁ	N	ⲁⲡⲁ
ϩⲩⲡⲉⲣⲉⲭⲓ̇ⲟⲥ	NPROP	ϩⲩⲡⲉⲣⲉⲭⲓⲟⲥ
ϫⲉ	CONJ	ϫⲉ
ⲡⲁϩⲟ	N	ⲡⲁϩⲟ
ⲙ̇	PREP	ⲙ
ⲡ̇	ART	ⲡ
ⲙⲟⲛⲁⲭⲟⲥ	N	ⲙⲟⲛⲁⲭⲟⲥ
ⲡⲉ̇	CREL	ⲡⲉⲧ
ⲧⲙ	NEG	ⲧⲙ
ϫ̇ⲡⲉ	V	ϫⲡⲉ
ⲖⲁⲁⲨ	N	ⲗⲁⲁⲩ
ⲛ̇	PREP	ⲛ
ϩⲨⲗⲏ	N	ϩⲩⲗⲏ
ⲛⲁ	PREP	ⲛⲁ
ϥ	PPERO	ϥ
·	PUNCT	.
ⲱ̇ⲧⲡ̇	V	ⲱⲧⲡ
ⲛⲁ	PREP	ⲛⲁ
ⲕ	PPERO	ⲕ
ⲉϩⲟⲩⲛ	ADV	ⲉϩⲟⲩⲛ
·	PUNCT	,
ⲁⲩⲱ̇	CONJ	ⲁⲩⲱ
ⲛ̇	ACONJ	ⲛ
ⲅ̇	PPERS	ⲅ
ⲥⲱⲟⲩϩ̇	V	ⲥⲱⲟⲩϩ
ⲛⲁ	PREP	ⲛⲁ
ⲕ	PPERO	ⲕ
